"Nombre de Archivo: liq 319 2022-feb-25_2022-mar-10 REF.xls"
"Fecha de Creaccion de Registro: 14/03/2022 11:00:14"
"Periodo de liquidacion: 25/feb/2022->10/mar/2022"
"Registros de Conciliacion:"
"CL-ALICE-22 CAMISETA"
"-:3190050196,CT-ALBA-0105-22 CAMISETA CORTA BEIGE T.20,6"
"CT-ALBA-0106-22 CAMISETA"
"-:CT-ALBA-0106-22 CAMISETA,74,21"
"-:3190050177,CT-ALBA-0106-22 CAMISETA CORTA NEGRO T.14,4"
"-:3190050178,CT-ALBA-0106-22 CAMISETA CORTA NEGRO T.16,5"
"-:3190050179,CT-ALBA-0106-22 CAMISETA CORTA NEGRO T.18,4"
"-:3190050180,CT-ALBA-0106-22 CAMISETA CORTA NEGRO T.20,8"
"CT-ALBA-0107-22 CAMISETA"
"-:CT-ALBA-0107-22 CAMISETA,79,19"
"-:3190050181,CT-ALBA-0107-22 CAMISETA CORTA BEIGE T.14,2"
"-:3190050182,CT-ALBA-0107-22 CAMISETA CORTA BEIGE T.16,5"
"-:3190050183,CT-ALBA-0107-22 CAMISETA CORTA BEIGE T.18,6"
"-:3190050184,CT-ALBA-0107-22 CAMISETA CORTA BEIGE T.20,6"
"CT-ALBA-0108-22 CAMISETA"
"-:CT-ALBA-0108-22 CAMISETA,84,23"
"-:3190050185,CT-ALBA-0108-22 CAMISETA CORTA MENTA T.14,5"
"-:3190050186,CT-ALBA-0108-22 CAMISETA CORTA MENTA T.16,4"
"-:3190050187,CT-ALBA-0108-22 CAMISETA CORTA MENTA T.18,7"
"-:3190050188,CT-ALBA-0108-22 CAMISETA CORTA MENTA T.20,7"
"CT-ALBA-0109-22 CAMISETA"
"-:CT-ALBA-0109-22 CAMISETA,89,11"
"-:3190050189,CT-ALBA-0109-22 CAMISETA CORTA PALO ROSA T.14,2"
"-:3190050190,CT-ALBA-0109-22 CAMISETA CORTA PALO ROSA T.16,3"
"-:3190050191,CT-ALBA-0109-22 CAMISETA CORTA PALO ROSA T.18,3"
"-:3190050192,CT-ALBA-0109-22 CAMISETA CORTA PALO ROSA T.20,3"
"CT-ALBA-0210-22 CAMISETA"
"-:CT-ALBA-0210-22 CAMISETA,93,9"
"-:3190050289,CT-ALBA-0210-22 CAMISETA CORTA FUCSIA T.14,3"
"-:3190050290,CT-ALBA-0210-22 CAMISETA CORTA FUCSIA T.16,1"
"-:3190050291,CT-ALBA-0210-22 CAMISETA CORTA FUCSIA T.18,5"
"CT-ALBA-0211-22 CAMISETA"
"-:CT-ALBA-0211-22 CAMISETA,98,21"
"-:3190050281,CT-ALBA-0211-22 CAMISETA CORTA PALO ROSA T.14,1"
"-:3190050282,CT-ALBA-0211-22 CAMISETA CORTA PALO ROSA T.16,4"
"-:3190050283,CT-ALBA-0211-22 CAMISETA CORTA PALO ROSA T.18,9"
"-:3190050284,CT-ALBA-0211-22 CAMISETA CORTA PALO ROSA T.20,7"
"CT-ALBA-0212-22 CAMISETA"
