"Nombre de Archivo: liq 319 2022-feb-25_2022-mar-10 REF.xls"
"Fecha de Creaccion de Registro: 14/03/2022 11:00:14"
"Periodo de liquidacion: 25/feb/2022->10/mar/2022"
"Registros de Conciliacion:"
"CL-ALICE-22 CAMISETA"
"-:3193720091,CT-PLR-02-22 LEGGINS INFORMAL GRIS OSCURO T.G,4"
"-:3193720092,CT-PLR-02-22 LEGGINS INFORMAL GRIS OSCURO T.EG,3"
"-:3193720093,CT-PLR-02-22 LEGGINS INFORMAL NEGRO T.P,12"
"-:3193720094,CT-PLR-02-22 LEGGINS INFORMAL NEGRO T.M,30"
"-:3193720095,CT-PLR-02-22 LEGGINS INFORMAL NEGRO T.G,26"
"-:3193720096,CT-PLR-02-22 LEGGINS INFORMAL NEGRO T.EG,12"
"CT-PLTM-22"
"-:CT-PLTM-22,330,116"
"-:3193720065,CT-PLTM-22 LEGGINS MATERNO AZUL MARINO T.P,3"
"-:3193720066,CT-PLTM-22 LEGGINS MATERNO AZUL MARINO T.M,3"
"-:3193720067,CT-PLTM-22 LEGGINS MATERNO AZUL MARINO T.G,1"
"-:3193720068,CT-PLTM-22 LEGGINS MATERNO AZUL MARINO T.EG,3"
"-:3193720070,CT-PLTM-22 LEGGINS MATERNO GRIS OSCURO T.P,4"
"-:3193720071,CT-PLTM-22 LEGGINS MATERNO GRIS OSCURO T.M,17"
"-:3193720072,CT-PLTM-22 LEGGINS MATERNO GRIS OSCURO T.G,10"
"-:3193720073,CT-PLTM-22 LEGGINS MATERNO GRIS OSCURO T.EG,7"
"-:3193720074,CT-PLTM-22 LEGGINS MATERNO GRIS OSCURO T.2EG,4"
"-:3193720075,CT-PLTM-22 LEGGINS MATERNO NEGRO T.P,12"
"-:3193720076,CT-PLTM-22 LEGGINS MATERNO NEGRO T.M,21"
"-:3193720077,CT-PLTM-22 LEGGINS MATERNO NEGRO T.G,16"
"-:3193720078,CT-PLTM-22 LEGGINS MATERNO NEGRO T.EG,4"
"-:3193720079,CT-PLTM-22 LEGGINS MATERNO NEGRO T.2EG,7"
"-:3193720109,CT-PLTM-22 LEGGINS MATERNO GRIS CLARO T.P,1"
"-:3193720110,CT-PLTM-22 LEGGINS MATERNO GRIS CLARO T.M,1"
"-:3193720111,CT-PLTM-22 LEGGINS MATERNO GRIS CLARO T.G,1"
"CT-SARA-0201-22 CAMISETA"
"-:CT-SARA-0201-22 CAMISETA,335,31"
"-:3190051041,CT-SARA-0201-22 CAMISETA CORTA MENTA T.P,9"
"-:3190051042,CT-SARA-0201-22 CAMISETA CORTA MENTA T.M,9"
"-:3190051043,CT-SARA-0201-22 CAMISETA CORTA MENTA T.G,7"
"-:3190051044,CT-SARA-0201-22 CAMISETA CORTA MENTA T.EG,6"
"CT-SARA-0202-22 CAMISETA"
"-:CT-SARA-0202-22 CAMISETA,340,29"
"-:3190051045,CT-SARA-0202-22 CAMISETA CORTA PALO ROSA OSCURO T.P,3"
"-:3190051046,CT-SARA-0202-22 CAMISETA CORTA PALO ROSA OSCURO T.M,7"
"-:3190051047,CT-SARA-0202-22 CAMISETA CORTA PALO ROSA OSCURO T.G,11"
"-:3190051048,CT-SARA-0202-22 CAMISETA CORTA PALO ROSA OSCURO T.EG,8"
"CT-SARA-0203-22 CAMISETA"
"-:CT-SARA-0203-22 CAMISETA,345,20"
"-:3190051053,CT-SARA-0203-22 CAMISETA CORTA PALO ROSA T.P,3"
"-:3190051054,CT-SARA-0203-22 CAMISETA CORTA PALO ROSA T.M,7"
"-:3190051055,CT-SARA-0203-22 CAMISETA CORTA PALO ROSA T.G,6"
"-:3190051056,CT-SARA-0203-22 CAMISETA CORTA PALO ROSA T.EG,4"
"CT-SARA-0204-22 CAMISETA"
"-:CT-SARA-0204-22 CAMISETA,350,23"
"-:3190051057,CT-SARA-0204-22 CAMISETA CORTA VERDE MILITAR T.P,3"
"-:3190051058,CT-SARA-0204-22 CAMISETA CORTA VERDE MILITAR T.M,7"
"-:3190051059,CT-SARA-0204-22 CAMISETA CORTA VERDE MILITAR T.G,5"
"-:3190051060,CT-SARA-0204-22 CAMISETA CORTA VERDE MILITAR T.EG,8"
"CT-SARA-0205-22 CAMISETA"
"-:CT-SARA-0205-22 CAMISETA,355,19"
"-:3190051061,CT-SARA-0205-22 CAMISETA CORTA BEIGE T.P,4"
"-:3190051062,CT-SARA-0205-22 CAMISETA CORTA BEIGE T.M,9"
"-:3190051063,CT-SARA-0205-22 CAMISETA CORTA BEIGE T.G,3"
"-:3190051064,CT-SARA-0205-22 CAMISETA CORTA BEIGE T.EG,3"
"CT-SARA-0206-22 CAMISETA"
"-:CT-SARA-0206-22 CAMISETA,360,23"
"-:3190051049,CT-SARA-0206-22 CAMISETA CORTA NEGRO T.P,4"
"-:3190051050,CT-SARA-0206-22 CAMISETA CORTA NEGRO T.M,8"
"-:3190051051,CT-SARA-0206-22 CAMISETA CORTA NEGRO T.G,4"
"-:3190051052,CT-SARA-0206-22 CAMISETA CORTA NEGRO T.EG,7"
"CT-SARA-0207-22 CAMISETA"
"-:CT-SARA-0207-22 CAMISETA,365,31"
"-:3190051065,CT-SARA-0207-22 CAMISETA CORTA GRIS T.P,3"
"-:3190051066,CT-SARA-0207-22 CAMISETA CORTA GRIS T.M,5"
"-:3190051067,CT-SARA-0207-22 CAMISETA CORTA GRIS T.G,11"
"-:3190051068,CT-SARA-0207-22 CAMISETA CORTA GRIS T.EG,12"
"CT-SARA-0208-22 CAMISETA"
"-:CT-SARA-0208-22 CAMISETA,370,31"
"-:3190051073,CT-SARA-0208-22 CAMISETA CORTA AZUL T.P,5"
"-:3190051074,CT-SARA-0208-22 CAMISETA CORTA AZUL T.M,6"
"-:3190051075,CT-SARA-0208-22 CAMISETA CORTA AZUL T.G,10"
"-:3190051076,CT-SARA-0208-22 CAMISETA CORTA AZUL T.EG,10"
"CT-SARA-0209-22 CAMISETA"
"-:CT-SARA-0209-22 CAMISETA,375,25"
"-:3190051069,CT-SARA-0209-22 CAMISETA CORTA NEGRO T.P,4"
"-:3190051070,CT-SARA-0209-22 CAMISETA CORTA NEGRO T.M,4"
"-:3190051071,CT-SARA-0209-22 CAMISETA CORTA NEGRO T.G,6"
"-:3190051072,CT-SARA-0209-22 CAMISETA CORTA NEGRO T.EG,11"
"E-BESMA-01-22 CAMISETA"
"-:E-BESMA-01-22 CAMISETA,390,45"
"-:3190050033,E-BESMA-01-22 CAMISETA M/C FUCSIA T.10,4"
"-:3190050034,E-BESMA-01-22 CAMISETA M/C FUCSIA T.12,3"
"-:3190050035,E-BESMA-01-22 CAMISETA M/C FUCSIA T.14,1"
"-:3190050036,E-BESMA-01-22 CAMISETA M/C FUCSIA T.16,4"
"-:3190050037,E-BESMA-01-22 CAMISETA M/C GRIS JASPEADO T.10,3"
"-:3190050038,E-BESMA-01-22 CAMISETA M/C GRIS JASPEADO T.12,3"
"-:3190050039,E-BESMA-01-22 CAMISETA M/C GRIS JASPEADO T.14,2"
"-:3190050041,E-BESMA-01-22 CAMISETA M/C NEGRO T.10,3"
"-:3190050042,E-BESMA-01-22 CAMISETA M/C NEGRO T.12,4"
"-:3190050043,E-BESMA-01-22 CAMISETA M/C NEGRO T.14,6"
"-:3190050044,E-BESMA-01-22 CAMISETA M/C NEGRO T.16,3"
"-:3190050046,E-BESMA-01-22 CAMISETA M/C ROSADO T.12,4"
"-:3190050047,E-BESMA-01-22 CAMISETA M/C ROSADO T.14,4"
"-:3190050048,E-BESMA-01-22 CAMISETA M/C ROSADO T.16,1"
"E-BL190-0101-22 CAMISETA"
"-:E-BL190-0101-22 CAMISETA,395,21"
"-:3190050001,E-BL190-0101-22 CAMISETA M/C PALO ROSA T.10,9"
"-:3190050002,E-BL190-0101-22 CAMISETA M/C PALO ROSA T.12,7"
"-:3190050003,E-BL190-0101-22 CAMISETA M/C PALO ROSA T.14,1"
"-:3190050004,E-BL190-0101-22 CAMISETA M/C PALO ROSA T.16,4"
"E-BL190-0102-22 CAMISETA"
"-:E-BL190-0102-22 CAMISETA,400,10"
"-:3190050005,E-BL190-0102-22 CAMISETA M/C AMARILLO T.10,1"
"-:3190050006,E-BL190-0102-22 CAMISETA M/C AMARILLO T.12,4"
"-:3190050007,E-BL190-0102-22 CAMISETA M/C AMARILLO T.14,2"
"-:3190050008,E-BL190-0102-22 CAMISETA M/C AMARILLO T.16,3"
"E-BL190-0103-22 CAMISETA"
"-:E-BL190-0103-22 CAMISETA,405,13"
"-:3190050009,E-BL190-0103-22 CAMISETA M/C MELON T.10,4"
"-:3190050010,E-BL190-0103-22 CAMISETA M/C MELON T.12,7"
"-:3190050011,E-BL190-0103-22 CAMISETA M/C MELON T.14,1"
"-:3190050012,E-BL190-0103-22 CAMISETA M/C MELON T.16,1"
"E-BL190-0104-22 CAMISETA"
"-:E-BL190-0104-22 CAMISETA,409,14"
"-:3190050013,E-BL190-0104-22 CAMISETA M/C BEIGE T.10,5"
"-:3190050014,E-BL190-0104-22 CAMISETA M/C BEIGE T.12,8"
"-:3190050016,E-BL190-0104-22 CAMISETA M/C BEIGE T.16,1"
"E-BL190-0105-22 CAMISETA"
"-:E-BL190-0105-22 CAMISETA,413,6"
"-:3190050017,E-BL190-0105-22 CAMISETA M/C GRIS JASPEADO T.10,3"
"-:3190050018,E-BL190-0105-22 CAMISETA M/C GRIS JASPEADO T.12,1"
"-:3190050019,E-BL190-0105-22 CAMISETA M/C GRIS JASPEADO T.14,2"
"E-BL190-0106-22 CAMISETA"
"-:E-BL190-0106-22 CAMISETA,417,6"
"-:3190050021,E-BL190-0106-22 CAMISETA M/C FUCSIA T.10,2"
"-:3190050023,E-BL190-0106-22 CAMISETA M/C FUCSIA T.14,1"
"-:3190050024,E-BL190-0106-22 CAMISETA M/C FUCSIA T.16,3"
"E-BL190-0107-22 CAMISETA"
"-:E-BL190-0107-22 CAMISETA,421,6"
"-:3190050025,E-BL190-0107-22 CAMISETA M/C MENTA T.10,1"
"-:3190050027,E-BL190-0107-22 CAMISETA M/C MENTA T.14,3"
"-:3190050028,E-BL190-0107-22 CAMISETA M/C MENTA T.16,2"
"E-BL190-0108-22 CAMISETA"
"-:E-BL190-0108-22 CAMISETA,426,19"
"-:3190050029,E-BL190-0108-22 CAMISETA M/C PALO ROSA T.10,6"
"-:3190050030,E-BL190-0108-22 CAMISETA M/C PALO ROSA T.12,7"
"-:3190050031,E-BL190-0108-22 CAMISETA M/C PALO ROSA T.14,4"
"-:3190050032,E-BL190-0108-22 CAMISETA M/C PALO ROSA T.16,2"
"E-IRIA-0101-22 VESTIDO"
"-:E-IRIA-0101-22 VESTIDO,443,98"
"-:3190090093,E-IRIA-0101-22 VESTIDO CON CAPUCHA  AZUL MARINO T.10,6"
"-:3190090094,E-IRIA-0101-22 VESTIDO CON CAPUCHA  AZUL MARINO T.12,7"
"-:3190090095,E-IRIA-0101-22 VESTIDO CON CAPUCHA  AZUL MARINO T.14,7"
"-:3190090096,E-IRIA-0101-22 VESTIDO CON CAPUCHA  AZUL MARINO T.16,10"
"-:3190090097,E-IRIA-0101-22 VESTIDO CON CAPUCHA  FRESA T.10,10"
"-:3190090098,E-IRIA-0101-22 VESTIDO CON CAPUCHA  FRESA T.12,15"
"-:3190090099,E-IRIA-0101-22 VESTIDO CON CAPUCHA  FRESA T.14,11"
"-:3190090100,E-IRIA-0101-22 VESTIDO CON CAPUCHA  FRESA T.16,6"
"-:3190090101,E-IRIA-0101-22 VESTIDO CON CAPUCHA  GRIS T.10,3"
"-:3190090102,E-IRIA-0101-22 VESTIDO CON CAPUCHA  GRIS T.12,2"
"-:3190090103,E-IRIA-0101-22 VESTIDO CON CAPUCHA  GRIS T.14,4"
"-:3190090104,E-IRIA-0101-22 VESTIDO CON CAPUCHA  GRIS T.16,2"
"-:3190090105,E-IRIA-0101-22 VESTIDO CON CAPUCHA  MELON T.10,4"
"-:3190090106,E-IRIA-0101-22 VESTIDO CON CAPUCHA  MELON T.12,4"
"-:3190090107,E-IRIA-0101-22 VESTIDO CON CAPUCHA  MELON T.14,4"
"-:3190090108,E-IRIA-0101-22 VESTIDO CON CAPUCHA  MELON T.16,3"
"E-KERLYES-02-22 CAMISETA"
"-:E-KERLYES-02-22 CAMISETA,448,80"
"-:3190051013,E-KERLYES-02-22 CAMISETA KIMONO SURTIDO T.10,28"
"-:3190051014,E-KERLYES-02-22 CAMISETA KIMONO SURTIDO T.12,14"
"-:3190051015,E-KERLYES-02-22 CAMISETA KIMONO SURTIDO T.14,23"
"-:3190051016,E-KERLYES-02-22 CAMISETA KIMONO SURTIDO T.16,15"
"E-MILA-0201-22 CAMISETA"
"-:E-MILA-0201-22 CAMISETA,453,29"
"-:3190050929,E-MILA-0201-22 CAMISETA M/C BEIGE T.10,5"
"-:3190050930,E-MILA-0201-22 CAMISETA M/C BEIGE T.12,10"
"-:3190050931,E-MILA-0201-22 CAMISETA M/C BEIGE T.14,10"
"-:3190050932,E-MILA-0201-22 CAMISETA M/C BEIGE T.16,4"
"E-MILA-0202-22 CAMISETA"
"-:E-MILA-0202-22 CAMISETA,458,17"
"-:3190050933,E-MILA-0202-22 CAMISETA M/C PALO ROSA T.10,8"
"-:3190050934,E-MILA-0202-22 CAMISETA M/C PALO ROSA T.12,1"
"-:3190050935,E-MILA-0202-22 CAMISETA M/C PALO ROSA T.14,3"
"-:3190050936,E-MILA-0202-22 CAMISETA M/C PALO ROSA T.16,5"
"E-MILA-0203-22 CAMISETA"
"-:E-MILA-0203-22 CAMISETA,463,44"
"-:3190050937,E-MILA-0203-22 CAMISETA M/C PALO ROSA T.10,10"
"-:3190050938,E-MILA-0203-22 CAMISETA M/C PALO ROSA T.12,11"
"-:3190050939,E-MILA-0203-22 CAMISETA M/C PALO ROSA T.14,10"
"-:3190050940,E-MILA-0203-22 CAMISETA M/C PALO ROSA T.16,13"
"E-MILA-0204-22 CAMISETA"
"-:E-MILA-0204-22 CAMISETA,468,23"
"-:3190050941,E-MILA-0204-22 CAMISETA M/C MENTA T.10,5"
"-:3190050942,E-MILA-0204-22 CAMISETA M/C MENTA T.12,4"
"-:3190050943,E-MILA-0204-22 CAMISETA M/C MENTA T.14,5"
"-:3190050944,E-MILA-0204-22 CAMISETA M/C MENTA T.16,9"
"E-MILA-0205-22 CAMISETA"
"-:E-MILA-0205-22 CAMISETA,473,36"
"-:3190050945,E-MILA-0205-22 CAMISETA M/C GRIS JASPEADO T.10,5"
"-:3190050946,E-MILA-0205-22 CAMISETA M/C GRIS JASPEADO T.12,15"
"-:3190050947,E-MILA-0205-22 CAMISETA M/C GRIS JASPEADO T.14,9"
"-:3190050948,E-MILA-0205-22 CAMISETA M/C GRIS JASPEADO T.16,7"
"E-MILA-0206-22 CAMISETA"
"-:E-MILA-0206-22 CAMISETA,478,25"
"-:3190050949,E-MILA-0206-22 CAMISETA M/C AZUL T.10,8"
"-:3190050950,E-MILA-0206-22 CAMISETA M/C AZUL T.12,5"
"-:3190050951,E-MILA-0206-22 CAMISETA M/C AZUL T.14,6"
"-:3190050952,E-MILA-0206-22 CAMISETA M/C AZUL T.16,6"
"E-MILA-0207-22 CAMISETA"
"-:E-MILA-0207-22 CAMISETA,483,17"
"-:3190050953,E-MILA-0207-22 CAMISETA M/C FUCSIA T.10,5"
"-:3190050954,E-MILA-0207-22 CAMISETA M/C FUCSIA T.12,2"
"-:3190050955,E-MILA-0207-22 CAMISETA M/C FUCSIA T.14,2"
"-:3190050956,E-MILA-0207-22 CAMISETA M/C FUCSIA T.16,8"
"E-MILA-0208-22 CAMISETA"
"-:E-MILA-0208-22 CAMISETA,488,13"
"-:3190050957,E-MILA-0208-22 CAMISETA M/C AMARILLO T.10,3"
"-:3190050958,E-MILA-0208-22 CAMISETA M/C AMARILLO T.12,2"
"-:3190050959,E-MILA-0208-22 CAMISETA M/C AMARILLO T.14,3"
"-:3190050960,E-MILA-0208-22 CAMISETA M/C AMARILLO T.16,5"
"E-MILA-0209-22 CAMISETA"
"-:E-MILA-0209-22 CAMISETA,492,17"
"-:3190050961,E-MILA-0209-22 CAMISETA M/C BEIGE T.10,3"
"-:3190050962,E-MILA-0209-22 CAMISETA M/C BEIGE T.12,8"
"-:3190050963,E-MILA-0209-22 CAMISETA M/C BEIGE T.14,6"
"E-MILA-0210-22 CAMISETA"
"-:E-MILA-0210-22 CAMISETA,495,2"
"-:3190051009,E-MILA-0210-22 CAMISETA M/C AMARILLO T.10,1"
"-:3190051011,E-MILA-0210-22 CAMISETA M/C AMARILLO T.14,1"
"E-PL101-LL-01-22"
"-:E-PL101-LL-01-22,516,220"
"-:3193720021,E-PL101-LL-01-22 LEGGINS LLANO AZUL PIEDRA T.10,7"
"-:3193720022,E-PL101-LL-01-22 LEGGINS LLANO AZUL PIEDRA T.12,5"
"-:3193720023,E-PL101-LL-01-22 LEGGINS LLANO AZUL PIEDRA T.14,9"
"-:3193720024,E-PL101-LL-01-22 LEGGINS LLANO AZUL PIEDRA T.16,12"
"-:3193720025,E-PL101-LL-01-22 LEGGINS LLANO FUCSIA T.10,9"
"-:3193720026,E-PL101-LL-01-22 LEGGINS LLANO FUCSIA T.12,5"
"-:3193720027,E-PL101-LL-01-22 LEGGINS LLANO FUCSIA T.14,7"
"-:3193720028,E-PL101-LL-01-22 LEGGINS LLANO FUCSIA T.16,7"
"-:3193720029,E-PL101-LL-01-22 LEGGINS LLANO GRIS CLARO T.10,6"
"-:3193720030,E-PL101-LL-01-22 LEGGINS LLANO GRIS CLARO T.12,8"
"-:3193720031,E-PL101-LL-01-22 LEGGINS LLANO GRIS CLARO T.14,5"
"-:3193720032,E-PL101-LL-01-22 LEGGINS LLANO GRIS CLARO T.16,7"
"-:3193720033,E-PL101-LL-01-22 LEGGINS LLANO GRIS OSCURO T.10,12"
"-:3193720034,E-PL101-LL-01-22 LEGGINS LLANO GRIS OSCURO T.12,13"
"-:3193720035,E-PL101-LL-01-22 LEGGINS LLANO GRIS OSCURO T.14,10"
"-:3193720036,E-PL101-LL-01-22 LEGGINS LLANO GRIS OSCURO T.16,8"
"-:3193720037,E-PL101-LL-01-22 LEGGINS LLANO NEGRO T.10,20"
"-:3193720038,E-PL101-LL-01-22 LEGGINS LLANO NEGRO T.12,18"
"-:3193720039,E-PL101-LL-01-22 LEGGINS LLANO NEGRO T.14,25"
"-:3193720040,E-PL101-LL-01-22 LEGGINS LLANO NEGRO T.16,24"
"I-BL190-0101-22 CAMISETA"
"-:I-BL190-0101-22 CAMISETA,521,23"
"-:3190050049,I-BL190-0101-22 CAMISETA M/C BEIGE T.2,5"
"-:3190050050,I-BL190-0101-22 CAMISETA M/C BEIGE T.4,2"
"-:3190050051,I-BL190-0101-22 CAMISETA M/C BEIGE T.6,6"
"-:3190050052,I-BL190-0101-22 CAMISETA M/C BEIGE T.8,10"
"I-BL190-0102-22 CAMISETA"
"-:I-BL190-0102-22 CAMISETA,526,25"
"-:3190050113,I-BL190-0102-22 CAMISETA M/C BEIGE T.2,7"
"-:3190050114,I-BL190-0102-22 CAMISETA M/C BEIGE T.4,6"
"-:3190050115,I-BL190-0102-22 CAMISETA M/C BEIGE T.6,6"
"-:3190050116,I-BL190-0102-22 CAMISETA M/C BEIGE T.8,6"
"I-BL190-0103-22 CAMISETA"
"-:I-BL190-0103-22 CAMISETA,531,33"
"-:3190050053,I-BL190-0103-22 CAMISETA M/C BEIGE T.2,2"
"-:3190050054,I-BL190-0103-22 CAMISETA M/C BEIGE T.4,11"
"-:3190050055,I-BL190-0103-22 CAMISETA M/C BEIGE T.6,8"
"-:3190050056,I-BL190-0103-22 CAMISETA M/C BEIGE T.8,12"
"I-BL190-0104-22 CAMISETA"
"-:I-BL190-0104-22 CAMISETA,536,38"
"-:3190050057,I-BL190-0104-22 CAMISETA M/C ROSADO CLARO T.2,5"
"-:3190050058,I-BL190-0104-22 CAMISETA M/C ROSADO CLARO T.4,12"
"-:3190050059,I-BL190-0104-22 CAMISETA M/C ROSADO CLARO T.6,12"
"-:3190050060,I-BL190-0104-22 CAMISETA M/C ROSADO CLARO T.8,9"
"I-BL190-0105-22 CAMISETA"
"-:I-BL190-0105-22 CAMISETA,541,24"
"-:3190050061,I-BL190-0105-22 CAMISETA M/C PALO ROSA T.2,1"
"-:3190050062,I-BL190-0105-22 CAMISETA M/C PALO ROSA T.4,9"
"-:3190050063,I-BL190-0105-22 CAMISETA M/C PALO ROSA T.6,8"
"-:3190050064,I-BL190-0105-22 CAMISETA M/C PALO ROSA T.8,6"
"I-BL190-0106-22 CAMISETA"
"-:I-BL190-0106-22 CAMISETA,545,10"
"-:3190050066,I-BL190-0106-22 CAMISETA M/C MENTA T.4,3"
"-:3190050067,I-BL190-0106-22 CAMISETA M/C MENTA T.6,4"
"-:3190050068,I-BL190-0106-22 CAMISETA M/C MENTA T.8,3"
"I-BL190-0107-22 CAMISETA"
"-:I-BL190-0107-22 CAMISETA,550,18"
"-:3190050069,I-BL190-0107-22 CAMISETA M/C MENTA T.2,4"
"-:3190050070,I-BL190-0107-22 CAMISETA M/C MENTA T.4,2"
"-:3190050071,I-BL190-0107-22 CAMISETA M/C MENTA T.6,7"
"-:3190050072,I-BL190-0107-22 CAMISETA M/C MENTA T.8,5"
"I-BL190-0108-22 CAMISETA"
"-:I-BL190-0108-22 CAMISETA,555,19"
"-:3190050073,I-BL190-0108-22 CAMISETA M/C GRIS JASPEADO T.2,1"
"-:3190050074,I-BL190-0108-22 CAMISETA M/C GRIS JASPEADO T.4,6"
"-:3190050075,I-BL190-0108-22 CAMISETA M/C GRIS JASPEADO T.6,6"
"-:3190050076,I-BL190-0108-22 CAMISETA M/C GRIS JASPEADO T.8,6"
"I-BL190-0109-22 CAMISETA"
"-:I-BL190-0109-22 CAMISETA,560,20"
"-:3190050077,I-BL190-0109-22 CAMISETA M/C GRIS JASPEADO T.2,2"
"-:3190050078,I-BL190-0109-22 CAMISETA M/C GRIS JASPEADO T.4,2"
"-:3190050079,I-BL190-0109-22 CAMISETA M/C GRIS JASPEADO T.6,7"
"-:3190050080,I-BL190-0109-22 CAMISETA M/C GRIS JASPEADO T.8,9"
"I-BL190-0110-22 CAMISETA"
"-:I-BL190-0110-22 CAMISETA,565,26"
"-:3190050081,I-BL190-0110-22 CAMISETA M/C AZUL MARINO T.2,4"
"-:3190050082,I-BL190-0110-22 CAMISETA M/C AZUL MARINO T.4,5"
"-:3190050083,I-BL190-0110-22 CAMISETA M/C AZUL MARINO T.6,6"
"-:3190050084,I-BL190-0110-22 CAMISETA M/C AZUL MARINO T.8,11"
"I-BL190-0111-22 CAMISETA"
"-:I-BL190-0111-22 CAMISETA,570,31"
"-:3190050085,I-BL190-0111-22 CAMISETA M/C FUCSIA T.2,4"
"-:3190050086,I-BL190-0111-22 CAMISETA M/C FUCSIA T.4,8"
"-:3190050087,I-BL190-0111-22 CAMISETA M/C FUCSIA T.6,11"
"-:3190050088,I-BL190-0111-22 CAMISETA M/C FUCSIA T.8,8"
"I-BL190-0112-22 CAMISETA"
"-:I-BL190-0112-22 CAMISETA,575,14"
"-:3190050089,I-BL190-0112-22 CAMISETA M/C FUCSIA T.2,2"
"-:3190050090,I-BL190-0112-22 CAMISETA M/C FUCSIA T.4,4"
"-:3190050091,I-BL190-0112-22 CAMISETA M/C FUCSIA T.6,4"
"-:3190050092,I-BL190-0112-22 CAMISETA M/C FUCSIA T.8,4"
"I-BL190-0113-22 CAMISETA"
"-:I-BL190-0113-22 CAMISETA,580,10"
"-:3190050093,I-BL190-0113-22 CAMISETA M/C AMARILLO T.2,3"
"-:3190050094,I-BL190-0113-22 CAMISETA M/C AMARILLO T.4,1"
"-:3190050095,I-BL190-0113-22 CAMISETA M/C AMARILLO T.6,2"
"-:3190050096,I-BL190-0113-22 CAMISETA M/C AMARILLO T.8,4"
"I-BL190-0114-22 CAMISETA"
"-:I-BL190-0114-22 CAMISETA,585,10"
"-:3190050097,I-BL190-0114-22 CAMISETA M/C AMARILLO T.2,4"
"-:3190050098,I-BL190-0114-22 CAMISETA M/C AMARILLO T.4,1"
"-:3190050099,I-BL190-0114-22 CAMISETA M/C AMARILLO T.6,4"
"-:3190050100,I-BL190-0114-22 CAMISETA M/C AMARILLO T.8,1"
"I-BL190-0115-22 CAMISETA"
"-:I-BL190-0115-22 CAMISETA,590,37"
"-:3190050101,I-BL190-0115-22 CAMISETA M/C ROSADO T.2,5"
"-:3190050102,I-BL190-0115-22 CAMISETA M/C ROSADO T.4,9"
"-:3190050103,I-BL190-0115-22 CAMISETA M/C ROSADO T.6,9"
"-:3190050104,I-BL190-0115-22 CAMISETA M/C ROSADO T.8,14"
"I-BL190-0116-22 CAMISETA"
"-:I-BL190-0116-22 CAMISETA,595,11"
"-:3190050105,I-BL190-0116-22 CAMISETA M/C MELON T.2,3"
"-:3190050106,I-BL190-0116-22 CAMISETA M/C MELON T.4,4"
"-:3190050107,I-BL190-0116-22 CAMISETA M/C MELON T.6,1"
"-:3190050108,I-BL190-0116-22 CAMISETA M/C MELON T.8,3"
"I-BL190-0117-22 CAMISETA"
"-:I-BL190-0117-22 CAMISETA,600,33"
"-:3190050109,I-BL190-0117-22 CAMISETA M/C ROSADO CLARO T.2,3"
"-:3190050110,I-BL190-0117-22 CAMISETA M/C ROSADO CLARO T.4,7"
"-:3190050111,I-BL190-0117-22 CAMISETA M/C ROSADO CLARO T.6,13"
"-:3190050112,I-BL190-0117-22 CAMISETA M/C ROSADO CLARO T.8,10"
"I-BL190-0218-22 CAMISETA"
"-:I-BL190-0218-22 CAMISETA,602,1"
"-:3190051120,I-BL190-0218-22 CAMISETA M/C PALO ROSA T.8,1"
"I-BL190-0219-22 CAMISETA"
"-:I-BL190-0219-22 CAMISETA,604,1"
"-:3190051124,I-BL190-0219-22 CAMISETA M/C AMARILLO T.8,1"
"I-BL190-0222-22 CAMISETA"
"-:I-BL190-0222-22 CAMISETA,608,6"
"-:3190051133,I-BL190-0222-22 CAMISETA M/C AZUL MARINO T.2,2"
"-:3190051134,I-BL190-0222-22 CAMISETA M/C AZUL MARINO T.4,1"
"-:3190051136,I-BL190-0222-22 CAMISETA M/C AZUL MARINO T.8,3"
"I-BL190-0223-22 CAMISETA"
"-:I-BL190-0223-22 CAMISETA,610,1"
"-:3190051140,I-BL190-0223-22 CAMISETA M/C MENTA T.8,1"
"I-BL190-0224-22 CAMISETA"
"-:I-BL190-0224-22 CAMISETA,612,1"
"-:3190051143,I-BL190-0224-22 CAMISETA M/C ROSADO NEON T.6,1"
"I-BL190-0225-22 CAMISETA"
"-:I-BL190-0225-22 CAMISETA,614,1"
"-:3190051147,I-BL190-0225-22 CAMISETA M/C GRIS T.6,1"
"I-BLEONORI-0101-22 VESTIDO"
"-:I-BLEONORI-0101-22 VESTIDO,619,16"
"-:3190090001,I-BLEONORI-0101-22 VESTIDO SISA CORAL T.2,1"
"-:3190090002,I-BLEONORI-0101-22 VESTIDO SISA CORAL T.4,4"
"-:3190090003,I-BLEONORI-0101-22 VESTIDO SISA CORAL T.6,4"
"-:3190090004,I-BLEONORI-0101-22 VESTIDO SISA CORAL T.8,7"
"I-BLEONORI-0102-22 VESTIDO"
"-:I-BLEONORI-0102-22 VESTIDO,624,11"
"-:3190090005,I-BLEONORI-0102-22 VESTIDO SISA MENTA T.2,2"
"-:3190090006,I-BLEONORI-0102-22 VESTIDO SISA MENTA T.4,3"
"-:3190090007,I-BLEONORI-0102-22 VESTIDO SISA MENTA T.6,3"
"-:3190090008,I-BLEONORI-0102-22 VESTIDO SISA MENTA T.8,3"
"I-BLEONORI-0103-22 VESTIDO"
"-:I-BLEONORI-0103-22 VESTIDO,629,21"
"-:3190090009,I-BLEONORI-0103-22 VESTIDO SISA AMARILLO T.2,1"
