"Nombre de Archivo: liq 319 2022-mar-25_2022-abr-10 REF.xls"
"Fecha de Creaccion de Registro: 12/4/2022 19:17:03"
"Periodo de liquidacion: 25/mar/2022->10/abr/2022"
"Registros de Conciliacion:"
"CL-ALBA-0319-22 CAMISETA"
"-:3190050440,CL-ALBA-0330-22 CAMISETA CORTA BLANCO T.20,2"
"CL-ALBA-0331-22 CAMISETA"
"-:CL-ALBA-0331-22 CAMISETA,73,21"
"-:3190051493,CL-ALBA-0331-22 CAMISETA CORTA BLANCO T.14,7"
"-:3190051494,CL-ALBA-0331-22 CAMISETA CORTA BLANCO T.18,5"
"-:3190051495,CL-ALBA-0331-22 CAMISETA CORTA BLANCO T.20,2"
"-:3190051496,CL-ALBA-0331-22 CAMISETA CORTA BLANCO T.16,7"
"CL-ALBA-0332-22 CAMISETA"
"-:CL-ALBA-0332-22 CAMISETA,78,37"
"-:3190051497,CL-ALBA-0332-22 CAMISETA CORTA VERDE SALVIA T.14,8"
"-:3190051498,CL-ALBA-0332-22 CAMISETA CORTA VERDE SALVIA T.18,10"
"-:3190051499,CL-ALBA-0332-22 CAMISETA CORTA VERDE SALVIA T.20,9"
"-:3190051500,CL-ALBA-0332-22 CAMISETA CORTA VERDE SALVIA T.16,10"
"CL-ALICE-22 CAMISETA"
"-:CL-ALICE-22 CAMISETA,98,77"
"-:3190050309,CL-ALICE-22 CAMISETA KIMONO MOSTAZA T.P,3"
"-:3190050310,CL-ALICE-22 CAMISETA KIMONO MOSTAZA T.M,2"
"-:3190050311,CL-ALICE-22 CAMISETA KIMONO MOSTAZA T.G,3"
"-:3190050312,CL-ALICE-22 CAMISETA KIMONO MOSTAZA T.EG,4"
"-:3190050313,CL-ALICE-22 CAMISETA KIMONO NEGRO T.P,6"
"-:3190050314,CL-ALICE-22 CAMISETA KIMONO NEGRO T.M,4"
"-:3190050315,CL-ALICE-22 CAMISETA KIMONO NEGRO T.G,8"
"-:3190050316,CL-ALICE-22 CAMISETA KIMONO NEGRO T.EG,3"
"-:3190050317,CL-ALICE-22 CAMISETA KIMONO TERRACOTA T.P,7"
"-:3190050318,CL-ALICE-22 CAMISETA KIMONO TERRACOTA T.M,10"
"-:3190050319,CL-ALICE-22 CAMISETA KIMONO TERRACOTA T.G,9"
"-:3190050320,CL-ALICE-22 CAMISETA KIMONO TERRACOTA T.EG,6"
"-:3190051293,CL-ALICE-22 CAMISETA KIMONO AZUL MARINO T.P,1"
"-:3190051294,CL-ALICE-22 CAMISETA KIMONO AZUL MARINO T.M,2"
"-:3190051295,CL-ALICE-22 CAMISETA KIMONO AZUL MARINO T.G,1"
"-:3190051296,CL-ALICE-22 CAMISETA KIMONO AZUL MARINO T.EG,2"
"-:3190051297,CL-ALICE-22 CAMISETA KIMONO PALO ROSA T.P,1"
"-:3190051298,CL-ALICE-22 CAMISETA KIMONO PALO ROSA T.M,2"
"-:3190051299,CL-ALICE-22 CAMISETA KIMONO PALO ROSA T.G,3"
"CL-DAYANA-22 CAMISETA"
"-:CL-DAYANA-22 CAMISETA,115,49"
"-:3190051509,CL-DAYANA-22 CAMISETA CORTA AZUL T.P,2"
"-:3190051510,CL-DAYANA-22 CAMISETA CORTA AZUL T.M,3"
"-:3190051511,CL-DAYANA-22 CAMISETA CORTA AZUL T.G,1"
"-:3190051512,CL-DAYANA-22 CAMISETA CORTA AZUL T.EG,5"
"-:3190051513,CL-DAYANA-22 CAMISETA CORTA MOSTAZA T.P,2"
"-:3190051514,CL-DAYANA-22 CAMISETA CORTA MOSTAZA T.M,4"
"-:3190051515,CL-DAYANA-22 CAMISETA CORTA MOSTAZA T.G,5"
"-:3190051516,CL-DAYANA-22 CAMISETA CORTA MOSTAZA T.EG,4"
"-:3190051517,CL-DAYANA-22 CAMISETA CORTA NEGRO T.P,1"
"-:3190051518,CL-DAYANA-22 CAMISETA CORTA NEGRO T.M,3"
"-:3190051519,CL-DAYANA-22 CAMISETA CORTA NEGRO T.G,2"
"-:3190051520,CL-DAYANA-22 CAMISETA CORTA NEGRO T.EG,7"
"-:3190051521,CL-DAYANA-22 CAMISETA CORTA VINO T.P,2"
"-:3190051522,CL-DAYANA-22 CAMISETA CORTA VINO T.M,5"
"-:3190051523,CL-DAYANA-22 CAMISETA CORTA VINO T.G,2"
"-:3190051524,CL-DAYANA-22 CAMISETA CORTA VINO T.EG,1"
"CL-GRETA-22 CAMISETA"
"-:CL-GRETA-22 CAMISETA,132,86"
"-:3190050505,CL-GRETA-22 CAMISETA KIMONO NEGRO T.P,7"
"-:3190050506,CL-GRETA-22 CAMISETA KIMONO NEGRO T.M,7"
"-:3190050507,CL-GRETA-22 CAMISETA KIMONO NEGRO T.G,6"
"-:3190050508,CL-GRETA-22 CAMISETA KIMONO NEGRO T.EG,2"
"-:3190050509,CL-GRETA-22 CAMISETA KIMONO AZUL MARINO T.P,1"
"-:3190050510,CL-GRETA-22 CAMISETA KIMONO AZUL MARINO T.M,7"
"-:3190050511,CL-GRETA-22 CAMISETA KIMONO AZUL MARINO T.G,7"
"-:3190050512,CL-GRETA-22 CAMISETA KIMONO AZUL MARINO T.EG,2"
"-:3190050561,CL-GRETA-22 CAMISETA KIMONO PALO ROSA T.P,4"
"-:3190050562,CL-GRETA-22 CAMISETA KIMONO PALO ROSA T.M,4"
"-:3190050563,CL-GRETA-22 CAMISETA KIMONO PALO ROSA T.G,12"
"-:3190050564,CL-GRETA-22 CAMISETA KIMONO PALO ROSA T.EG,7"
"-:3190050565,CL-GRETA-22 CAMISETA KIMONO VERDE MILITAR T.P,3"
"-:3190050566,CL-GRETA-22 CAMISETA KIMONO VERDE MILITAR T.M,5"
"-:3190050567,CL-GRETA-22 CAMISETA KIMONO VERDE MILITAR T.G,5"
"-:3190050568,CL-GRETA-22 CAMISETA KIMONO VERDE MILITAR T.EG,7"
"CL-KARINA-22 CAMISETA"
"-:CL-KARINA-22 CAMISETA,139,7"
"-:3190051219,CL-KARINA-22 CAMISETA 3/4 BEIGE T.G,1"
"-:3190051220,CL-KARINA-22 CAMISETA 3/4 BEIGE T.EG,1"
"-:3190051222,CL-KARINA-22 CAMISETA 3/4 NEGRO T.M,1"
"-:3190051223,CL-KARINA-22 CAMISETA 3/4 NEGRO T.G,2"
